[--] ----------------------------------------------
[--] CANreal Save Frames Header (created)
[--] ----------------------------------------------
[F1] Source:                  	C:\Users\Pi\Desktop\CySkinDLL\CAN_packets.csplog
[F2] Split file series:       	CAN_packets.csplog
[F3] File serial number:      	n/a
[F4] Id-Description file:     	<none>
[F5] Header type:             	0
[F6] Header length:           	2093
[F7] File date:               	26.11.2016
[F8] File time:               	07:33:07
[S1] Hardware:                	1000
[S2] Driver:                  	2609
[S3] Firmware:                	1100
[S5] dll:                     	4808
[S6] Board:                   	CAN_USB2
[S7] status:                  	00000000
[S8] OS:                      	Windows 7 Service Pack 1 (6,1,7601,2,[Service Pack 1])
[S9] CANreal:                 	8.23
[SA] Features:                	0972 (2b Ts Lo St )
[SB] HW Time stamps:          	resolution 1.000 MHz <> 1000.000 nsec (OK)
[SC] Controller:              	LPC,60.0 MHz
[SD] Board serial:            	HI005033
[C1] Net number:              	0
[C2] Baud:                    	1000
[C3] 29-bit-Ids:              	1 - enabled
[T0] Start trigger:           	none
[T1] End   trigger:           	none
[C4] Id-Area:                 	0000-2047 ($000-$7FF)
[C6] Baud details:            	1000.00 kBit/s+0.00% Table-Index[0],TSEG[17/3],SJW[0],FLAGS[0 hex]
[--] ----------------------------------------------
[--] Frame_Number	Trigger	Absolute_Time	Msec	Relative_Time		CAN_Id_dec	CAN_Id_hex	Attributes	Length	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
[--]     Num	Trig	     Abs	Msec	            Rel		     IdDec	     IdHex	Attr	Len	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
          39	    	07:31:52	342.010	          0.114		       513	       201	      	  8	27	74	30	C2	B2	BC	26	D6	't0¬≤º&÷	
          40	    	07:31:52	342.149	          0.139		       513	       201	      	  8	26	E9	29	01	29	C9	27	DD	&È)_)…'›	
          41	    	07:31:52	342.262	          0.113		       513	       201	      	  8	27	AB	25	5B	24	45	28	73	'´%[$E(s	
          42	    	07:31:52	342.375	          0.113		       513	       201	      	  8	27	A7	26	DC	AE	89	28	92	'ß&‹Æâ(í	
          43	    	07:31:52	342.492	          0.117		       513	       201	      	  8	27	5C	2A	B9	29	00	28	27	'\*π)_('	
          44	    	07:31:52	342.610	          0.118		       513	       201	      	  8	28	36	26	C7	26	2D	26	0A	(6&«&-&_	
          45	    	07:31:52	342.726	          0.116		       513	       201	      	  8	27	72	2F	F3	B2	9B	26	FB	'r/Û≤õ&˚	
          46	    	07:31:52	342.848	          0.122		       513	       201	      	  8	26	27	28	E7	26	F6	27	DB	&'(Á&ˆ'€	
          47	    	07:31:52	342.962	          0.114		       513	       201	      	  8	27	AB	25	65	25	C7	28	86	'´%e%«(Ü	
          48	    	07:31:52	343.076	          0.114		       513	       201	      	  8	24	2C	27	58	B2	9D	26	2D	$,'X≤ù&-	
          49	    	07:31:52	343.195	          0.119		       513	       201	      	  8	26	23	28	AA	27	34	27	44	&#(™'4'D	
          50	    	07:31:52	343.303	          0.108		       513	       201	      	  8	27	9C	28	71	25	49	26	63	'ú(q%I&c	
          51	    	07:31:52	343.418	          0.115		       513	       201	      	  8	27	D9	26	E1	B2	71	26	88	'Ÿ&·≤q&à	
          52	    	07:31:52	343.548	          0.130		       513	       201	      	  8	26	E2	29	42	29	E9	27	B1	&‚)B)È'±	
          53	    	07:31:52	343.652	          0.104		      1025	       401	      	  7	27	65	28	92	28	6D	8D	  	'e(í(mç 	
          54	    	07:31:52	343.768	          0.116		       257	       101	      	  8	43	20	07	09	28	E0	27	B8	C___(‡'∏	
          55	    	07:31:52	343.883	          0.115		       513	       201	      	  8	27	3A	B1	83	25	43	25	E1	':±É%C%·	
          56	    	07:31:52	343.997	          0.114		       513	       201	      	  8	28	AC	29	C7	27	63	27	A8	(¨)«'c'®	
          57	    	07:31:52	344.111	          0.114		       513	       201	      	  8	28	F3	28	0E	26	4D	27	71	(Û(_&M'q	
          58	    	07:31:52	344.201	          0.090		      1025	       401	      	  3	29	9C	71	  	  	  	  	  	)úq     	
          59	    	07:31:52	390.946	         46.745		       257	       101	      	  8	43	BC	00	00	B3	0B	28	85	Cº__≥_(Ö	
          60	    	07:31:52	391.081	          0.135		       513	       201	      	  8	28	08	27	5F	27	63	29	0A	(_'_'c)_	
          61	    	07:31:52	391.206	          0.125		       513	       201	      	  8	26	16	27	04	26	BE	26	D5	&_'_&æ&’	
          62	    	07:31:52	391.306	          0.100		       513	       201	      	  8	28	56	28	6D	B2	FA	27	7F	(V(m≤˙'	
          63	    	07:31:52	391.419	          0.113		       513	       201	      	  8	27	2D	26	B7	26	B7	28	ED	'-&∑&∑(Ì	
          64	    	07:31:52	391.547	          0.128		       513	       201	      	  8	25	D5	26	D0	26	52	26	85	%’&–&R&Ö	
          65	    	07:31:52	391.662	          0.115		       513	       201	      	  8	28	66	27	E6	AD	E2	28	85	(f'Ê≠‚(Ö	
          66	    	07:31:52	391.776	          0.114		       513	       201	      	  8	26	F9	2A	5E	28	97	27	AA	&˘*^(ó'™	
          67	    	07:31:52	391.893	          0.117		       513	       201	      	  8	27	C1	25	7E	25	2C	26	03	'¡%~%,&_	
          68	    	07:31:52	392.008	          0.115		       513	       201	      	  8	27	74	30	C0	B2	C0	26	D0	't0¿≤¿&–	
          69	    	07:31:52	392.148	          0.140		       513	       201	      	  8	26	EA	28	EC	29	B8	27	D7	&Í(Ï)∏'◊	
          70	    	07:31:52	392.264	          0.116		       513	       201	      	  8	27	A9	25	59	24	40	28	72	'©%Y$@(r	
          71	    	07:31:52	392.377	          0.113		       513	       201	      	  8	27	A7	26	D9	AE	89	28	93	'ß&ŸÆâ(ì	
          72	    	07:31:52	392.493	          0.116		       513	       201	      	  8	27	5D	2A	B9	29	00	28	26	']*π)_(&	
          73	    	07:31:52	392.608	          0.115		       513	       201	      	  8	28	37	26	CA	26	2C	26	0A	(7& &,&_	
          74	    	07:31:52	392.748	          0.140		       513	       201	      	  8	27	72	2F	F4	B2	99	26	FD	'r/Ù≤ô&˝	
          75	    	07:31:52	392.862	          0.114		       513	       201	      	  8	26	2A	28	E9	26	F6	27	DB	&*(È&ˆ'€	
          76	    	07:31:52	392.976	          0.114		       513	       201	      	  8	27	A6	25	5F	25	C7	28	86	'¶%_%«(Ü	
          77	    	07:31:52	393.090	          0.114		       513	       201	      	  8	24	2A	27	59	B2	9D	26	35	$*'Y≤ù&5	
          78	    	07:31:52	393.204	          0.114		       513	       201	      	  8	26	25	28	AD	27	34	27	44	&%(≠'4'D	
          79	    	07:31:52	393.322	          0.118		       513	       201	      	  8	27	9C	28	6F	25	49	26	61	'ú(o%I&a	
          80	    	07:31:52	393.450	          0.128		       513	       201	      	  8	27	D9	26	E2	B2	70	26	86	'Ÿ&‚≤p&Ü	
          81	    	07:31:52	393.572	          0.122		       513	       201	      	  8	26	E2	29	43	29	E8	27	B0	&‚)C)Ë'∞	
          82	    	07:31:52	393.670	          0.098		      1025	       401	      	  7	27	65	28	92	28	6D	68	  	'e(í(mh 	
          83	    	07:31:52	393.785	          0.115		       257	       101	      	  8	43	20	07	09	28	E0	27	B8	C___(‡'∏	
          84	    	07:31:52	393.899	          0.114		       513	       201	      	  8	27	3B	B1	81	25	43	25	E1	';±Å%C%·	
          85	    	07:31:52	394.029	          0.130		       513	       201	      	  8	28	A7	29	B9	27	4C	27	98	(ß)π'L'ò	
          86	    	07:31:52	394.149	          0.120		       513	       201	      	  8	28	E6	28	08	26	49	27	70	(Ê(_&I'p	
          87	    	07:31:52	394.223	          0.074		      1025	       401	      	  3	29	9A	2C	  	  	  	  	  	)ö,     	
          88	    	07:31:52	440.948	         46.725		       257	       101	      	  8	43	BC	00	00	B3	0A	28	86	Cº__≥_(Ü	
          89	    	07:31:52	441.083	          0.135		       513	       201	      	  8	28	08	27	5E	27	62	29	0A	(_'^'b)_	
          90	    	07:31:52	441.208	          0.125		       513	       201	      	  8	26	16	27	03	26	BD	26	D4	&_'_&Ω&‘	
          91	    	07:31:52	441.308	          0.100		       513	       201	      	  8	28	56	28	6E	B2	F8	27	7F	(V(n≤¯'	
          92	    	07:31:52	441.423	          0.115		       513	       201	      	  8	27	2D	26	B6	26	B8	28	ED	'-&∂&∏(Ì	
          93	    	07:31:52	441.545	          0.122		       513	       201	      	  8	25	D5	26	CF	26	52	26	84	%’&œ&R&Ñ	
          94	    	07:31:52	441.660	          0.115		       513	       201	      	  8	28	66	27	E7	AD	E3	28	85	(f'Á≠„(Ö	
          95	    	07:31:52	441.775	          0.115		       513	       201	      	  8	26	FA	2A	5E	28	96	27	AB	&˙*^(ñ'´	
          96	    	07:31:52	441.890	          0.115		       513	       201	      	  8	27	BD	25	81	25	2A	26	02	'Ω%Å%*&_	
          97	    	07:31:52	442.006	          0.116		       513	       201	      	  8	27	75	30	C0	B2	BD	26	D0	'u0¿≤Ω&–	
          98	    	07:31:52	442.121	          0.115		       513	       201	      	  8	26	DE	28	EC	29	C0	27	DD	&ﬁ(Ï)¿'›	
          99	    	07:31:52	442.246	          0.125		       513	       201	      	  8	27	AB	25	5A	24	44	28	70	'´%Z$D(p	
         100	    	07:31:52	442.359	          0.113		       513	       201	      	  8	27	A2	26	D8	AE	89	28	92	'¢&ÿÆâ(í	
         101	    	07:31:52	442.476	          0.117		       513	       201	      	  8	27	5C	2A	BA	28	FF	28	27	'\*∫(ˇ('	
         102	    	07:31:52	442.593	          0.117		       513	       201	      	  8	28	37	26	C8	26	2D	26	0A	(7&»&-&_	
         103	    	07:31:52	442.709	          0.116		       513	       201	      	  8	27	71	2F	F3	B2	99	26	FC	'q/Û≤ô&¸	
         104	    	07:31:52	442.848	          0.139		       513	       201	      	  8	26	2B	28	EA	26	FC	27	E2	&+(Í&¸'‚	
         105	    	07:31:52	442.964	          0.116		       513	       201	      	  8	27	B0	25	6A	25	CC	28	88	'∞%j%Ã(à	
         106	    	07:31:52	443.078	          0.114		       513	       201	      	  8	24	2D	27	5B	B2	9C	26	2F	$-'[≤ú&/	
         107	    	07:31:52	443.199	          0.121		       513	       201	      	  8	26	29	28	B1	27	3A	27	47	&)(±':'G	
         108	    	07:31:52	443.306	          0.107		       513	       201	      	  8	27	9D	28	72	25	4B	26	66	'ù(r%K&f	
         109	    	07:31:52	443.449	          0.143		       513	       201	      	  8	27	DB	26	E2	B2	70	26	88	'€&‚≤p&à	
         110	    	07:31:52	443.565	          0.116		       513	       201	      	  8	26	E2	29	43	29	E8	27	B0	&‚)C)Ë'∞	
         111	    	07:31:52	443.670	          0.105		      1025	       401	      	  7	27	65	28	92	28	6D	29	  	'e(í(m) 	
         112	    	07:31:52	443.785	          0.115		       257	       101	      	  8	43	20	07	09	28	E0	27	B8	C___(‡'∏	
         113	    	07:31:52	443.898	          0.113		       513	       201	      	  8	27	3B	B1	85	25	44	25	DD	';±Ö%D%›	
         114	    	07:31:52	444.014	          0.116		       513	       201	      	  8	28	A8	29	B8	27	55	27	9C	(®)∏'U'ú	
         115	    	07:31:52	444.145	          0.131		       513	       201	      	  8	28	F4	28	0A	26	4E	27	6B	(Ù(_&N'k	
